hpo_id	hpo_name	comment	definition_x
HP:0000963	Thin skin		Reduction in thickness of the skin, generally associated with a loss of suppleness and elasticity of the skin. [https://orcid.org/0000-0002-0736-9199]
HP:0012786	Recurrent cystitis	One definition of recurrent cystitis involves 3 or more diagnosed cystitis episodes (ICD-9 codes 595.0, 595.9, 597.81, 599.0 with episodes separated by 30 days or more) within a 12-month period or 2 episodes within 6 months.	Repeated infections of the urinary bladder. [https://orcid.org/0000-0002-0736-9199, PMID:20639019]
HP:0000457	Depressed nasal ridge	The adjective 'depressed' here does not indicate an active process but a status. The feature should be assessed in a profile view. This finding is typically associated with a Short columella, but this should be assessed separately.	Lack of prominence of the nose resulting from a posteriorly-placed nasal ridge. [https://orcid.org/0000-0002-0736-9199, PMID:19152422]
HP:0000294	Low anterior hairline	This feature gives the appearance of a short forehead. It is distinct from hirsutism of the forehead. In the latter, orientation of hair growth is lateral and texture and density of hair differs from scalp hair.	Distance between the hairline (trichion) and the glabella (the most prominent point on the frontal bone above the root of the nose), in the midline, more than two SD below the mean. Alternatively, an apparently decreased distance between the hairline and the glabella. [PMID:19125436]
HP:0007473	Crusting erythematous dermatitis		
HP:0010783	Erythema		Redness of the skin, caused by hyperemia of the capillaries in the lower layers of the skin. [https://orcid.org/0000-0002-0736-9199, https://orcid.org/0000-0002-6548-5200]
HP:0002218	Silver-gray hair		Hypopigmented hair that appears silver-gray. [https://orcid.org/0000-0002-0736-9199]
HP:0002064	Spastic gait		Spasticity is manifested by increased stretch reflex which is intensified with movement velocity. This results in excessive and inappropriate muscle activation which can contribute to muscle hypertonia. Spastic gait is characterized by manifestations such as muscle hypertonia, stiff knee, and circumduction of the leg. [PMID:25649546]
HP:0002061	Lower limb spasticity		Spasticity (velocity-dependent increase in tonic stretch reflexes with increased muscle tone and hyperexcitable tendon reflexes) in the muscles of the lower limbs, hips, and pelvis [HPO_CONTRIBUTOR:UKT_rschuele, https://orcid.org/0000-0002-0736-9199]
HP:0012701	Bowel urgency		A sudden, irresistible need to have a bowel movement. [HPO_CONTRIBUTOR:UToronto_htrang]
HP:0001258	Spastic paraplegia	This phenotypic feature is a major component of the disease hereditary spastic paraplegia, which has multiple distinct genetic etiologies.	Spasticity and weakness of the leg and hip muscles. [https://orcid.org/0000-0002-0736-9199]
HP:0001045	Vitiligo		
HP:0001003	Multiple lentigines	Lentigines are commonly (but not always) due to chronic sun exposure (solar lentigines; sometimes called liver spots) and occur most frequently on the face and back of the hands.	Presence of an unusually high number of lentigines (singular: lentigo), which are flat, tan to brown oval spots. [https://orcid.org/0000-0002-0736-9199]
HP:0010550	Paraplegia		Severe or complete weakness of both lower extremities with sparing of the upper extremities. [https://orcid.org/0000-0002-0736-9199]
HP:0005830	Flexion contracture of toe		One or more bent (flexed) toe joints that cannot be straightened actively or passively. [https://orcid.org/0000-0002-0736-9199]
HP:0025025	Rectovestibular fistula	The condition can cause feces and gas to exit the vaginal vestibule.	A congenital malformation characterized by an abnormal connection (fistula) between the rectum and the vulval vestibule, at the lower aspect of the vaginal opening. [https://orcid.org/0000-0002-0736-9199]
HP:0034675	Toe joint contracture		Lack of full passive range of motion (restrictions in flexion, extension, or other movements) of a toe joint resulting from structural changes of non-bony tissues, such as muscles, tendons, ligaments, joint capsules and/or skin. [PMID:16214063, PMID:24975760, PMID:31282072]
HP:0003690	Limb muscle weakness		Reduced strength and weakness of the muscles of the arms and legs. [https://orcid.org/0009-0006-4530-3154]
HP:0008994	Proximal muscle weakness in lower limbs		A lack of strength of the proximal muscles of the legs. [https://orcid.org/0000-0002-0736-9199]
HP:0006829	Severe muscular hypotonia		A severe degree of muscular hypotonia characterized by markedly reduced muscle tone. [https://orcid.org/0000-0002-0736-9199]
HP:0009912	Abnormal tragus morphology	The tragus is the small pointed eminence of the external ear, situated in front of the concha, and projecting backward over the auditory canal.	An abnormality of the tragus. [https://orcid.org/0000-0002-0736-9199]
HP:0002286	Fair hair	For instance, in Angelman syndrome, reduced expression of the gene OCA2 is associated with light-colored hair and fair skin, such that affected children often have noticeably fairer hair than their unaffected relatives.	A lesser degree of hair pigmentation than would otherwise be expected. [https://orcid.org/0000-0003-1773-4011]
HP:0002265	Large fleshy ears		
HP:0009738	Abnormal antihelix morphology	An abnormal form of the antihelix, which is the curved prominence of cartilage, parallel with and in front of the helix, and which divides into the crura antihelicis, between which is a triangular depression, the fossa triangularis.	An abnormality of the antihelix. [https://orcid.org/0000-0002-0736-9199]
HP:0002100	Recurrent aspiration pneumonia		Increased susceptibility to aspiration pneumonia, defined as pneumonia due to breathing in foreign material, as manifested by a medical history of repeated episodes of aspiration pneumonia. [https://orcid.org/0000-0002-0736-9199]
HP:0002025	Anal stenosis		Abnormal narrowing of the anal opening. [https://orcid.org/0000-0002-0736-9199]
HP:0011333	Asymmetric crying face	Asymmetric crying facies is caused by underdevelopment of the depressor anguli oris muscle or compression of one of the branches of the facial nerve.	Asymmetry observed in the face of a neonate or infant whose face appears symmetric at rest and asymmetric during crying as the mouth is pulled downward on one side while not moving on the other side. [https://orcid.org/0000-0003-2958-5076]
HP:0011271	Prominent tragus		Increase posterolateral protrusion of the tragus. [PMID:19152421]
HP:0011247	Prominent superior crus of antihelix	This finding is highly variable. There may be an inverse relationship between the relative sizes of the superior and inferior crura, but these findings should be coded separately.	Increased protrusion of the superior crus relative to the prominence of a normal antihelix stem. [PMID:19152421]
HP:0011245	Abnormality of superior crus of antihelix	The inferior antihelical crus runs in an anterior and slightly superior direction, and is usually sharply defined, and appears less variable than its superior counterpart. A synonym is anterior crus of the antihelix.	An abnormality of the superior crus of the antihelix is the upper cartilaginous ridge arising at the bifurcation of the antihelix that ends beneath the fold of the ascending helix, and separates the concha from the triangular fossa. [https://orcid.org/0000-0002-0736-9199, PMID:19152421]
HP:0009123	Mixed hypo- and hyperpigmentation of the skin		
HP:0003701	Proximal muscle weakness	Removed logical definition that used anonymous class. Outstanding term request in UBERON for proximal muscle organ.	A lack of strength of the proximal muscles. [https://orcid.org/0000-0002-0736-9199]
HP:0003324	Generalized muscle weakness		Generalized weakness or decreased strength of the muscles, affecting both distal and proximal musculature. [https://orcid.org/0000-0002-0736-9199]
HP:0006254	Elevated circulating alpha-fetoprotein concentration	An elevation of alpha-feto protein, which is produced by the fetal liver and the yolk sac and may be increased in the serum of pregnant women with a fetus with some types of developmental anomaly such as open neural tube defects and omphalocele.	Concentration of alpha-fetoprotein in the blood circulation above the upper limit of normal. [HPO_CONTRIBUTOR:gcarletti]
HP:0006165	Proportionate shortening of all digits		
HP:0100819	Intestinal fistula		An abnormal connection between the gut and another hollow organ, such as the bladder, urethra, vagina, or other regions of the gastrointestinal tract. [https://orcid.org/0000-0002-0736-9199]
HP:0100590	Rectal fistula		The presence of a fistula affecting the rectum. [https://orcid.org/0000-0002-0736-9199]
HP:0100589	Urogenital fistula		The presence of a fistula affecting the genitourinary system. [https://orcid.org/0000-0002-0736-9199]
HP:0000498	Blepharitis		Inflammation of the eyelids. [https://orcid.org/0000-0002-0736-9199]
HP:0008366	Foot joint contracture		Contractures of one or more joints of the feet meaning chronic loss of joint motion due to structural changes in non-bony tissue. []
HP:0008551	Microtia	The definitions of microtia follow a widely used, surgically based, classification of ear anomalies outlined by Weerda 1988. As microtia indicates at least both decreased length and width, and in more severe forms it includes abnormal shape of structures, all forms are acknowledged to be bundled terms, but are retained here because they are well established.	Underdevelopment of the external ear. [https://orcid.org/0000-0002-0736-9199, PMID:19152421, PMID:3270622]
HP:0000396	Overfolded helix	This is most often seen in the superior helix where it must be distinguished from a Lop ear (where the usual convexity of the posterior border of the ear is lost). Helix folding is highly variable.	A condition in which the helix is folded over to a greater degree than normal. That is, excessive curling of the helix edge, whereby the free edge is parallel to the plane of the ear. [https://orcid.org/0000-0002-0736-9199, PMID:19152421]
HP:0000350	Small forehead		The presence of a forehead that is abnormally small. [https://orcid.org/0000-0002-0736-9199]
HP:0000269	Prominent occiput	Increased convexity of the occiput gives an appearance of prominence. There are no objective measures for convexity of the occiput, and evaluation depends heavily on the experience of the observer. This finding may or may not be accompanied by Dolichocephaly, but this should be coded separately.	Increased convexity of the occiput (posterior part of the skull). [PMID:19125436]
HP:0000034	Hydrocele testis		Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis. [PMID:32644551]
HP:0007441	Hyperpigmented/hypopigmented macules		
HP:0004742	Abnormal renal collecting system morphology		An abnormality of the renal collecting system. [https://orcid.org/0000-0002-0736-9199]
HP:0004681	Deep longitudinal plantar crease		Narrow, paramedian longitudinal depressions in the plantar skin of the forefoot. [PMID:19125433]
HP:0001869	Deep plantar creases		The presence of unusually deep creases (ridges/wrinkles) on the skin of sole of foot. [https://orcid.org/0000-0002-0736-9199]
HP:0004488	Macrocephaly at birth		The presence of an abnormally large skull with onset at birth. [https://orcid.org/0000-0002-0736-9199]
HP:0001804	Hypoplastic fingernail		Underdevelopment of a fingernail. [https://orcid.org/0000-0002-0736-9199]
HP:0001707	Abnormal right ventricle morphology	The function of the right ventricle is to receive blood from the right atrium and to eject blood into the pulmonary artery.	An abnormality of the right ventricle of the heart. [https://orcid.org/0000-0002-0736-9199]
HP:0001667	Right ventricular hypertrophy		In this case the right ventricle is more muscular than normal, causing a characteristic boot-shaped (coeur-en-sabot) appearance as seen on anterior- posterior chest x-rays. Right ventricular hypertrophy is commonly associated with any form of right ventricular outflow obstruction or pulmonary hypertension, which may in turn owe its origin to left-sided disease. The echocardiographic signs are thickening of the anterior right ventricular wall and the septum. Cavity size is usually normal, or slightly enlarged. In many cases there is associated volume overload present due to tricuspid regurgitation, in the absence of this, septal motion is normal. [https://orcid.org/0000-0002-0736-9199]
HP:0001615	Hoarse cry		
HP:0008772	Aplasia/Hypoplasia of the external ear		The presence of aplasia or developmental hypoplasia of all or part of the external ear. [https://orcid.org/0000-0002-0736-9199]
HP:0008771	Aplasia/Hypoplasia of the ear		The presence of aplasia or developmental hypoplasia of the ear. [https://orcid.org/0000-0002-0736-9199]
HP:0008718	Unilateral renal dysplasia		A unilateral form of developmental dysplasia of the kidney. [https://orcid.org/0000-0002-0736-9199]
HP:0008676	Congenital megaureter	The cause of congenital megaloureter is thought to be aperistalsis of the distal ureter, leading to dilatation. The defect in peristalsis may be due to faulty development of muscle layers of ureter, that is, there is a functional, not a mechanical cause of obstruction.	A developmental disturbance with extreme ureteral dilatation. [https://orcid.org/0000-0002-0736-9199]
HP:0008635	Hypertrophy of the urinary bladder		Abnormal enlargement of the urinary bladder. [https://orcid.org/0000-0002-0736-9199]
HP:0045056	Abnormal circulating alpha-fetoprotein concentration		Concentration of alpha-fetoprotein in the blood circulation outside normal limits. []
HP:0010544	Vertical nystagmus		Vertical nystagmus may present with either up-beating or down-beating eye movements or both. When present in the straight-ahead position of gaze it is referred to as upbeat nystagmus or downbeat nystagmus. [https://orcid.org/0000-0002-0736-9199]
HP:0005750	Lower-limb joint contracture		A limitation in the passive range of motion of a joint of the lower limb resulting from loss of elasticity in the periarticular tissues owing to structural changes of non-bony tissues, such as muscles, tendons, ligaments, joint capsules or skin. []
HP:0002951	Partial absence of cerebellar vermis		Congenital absence of a part of the vermis of cerebellum. [https://orcid.org/0000-0002-0736-9199]
HP:0010282	Thin lower lip vermilion	Normal values for the height of the vermilion are available [Farkas, 1981] but measurements are not commonly used. Most clinicians determine this feature subjectively. The height of the vermilion of the lower lip varies considerably among ethnic groups, and the vermilion should be compared to a population of same ethnic background. If the lower lip vermilion is thin, the inferior border of the vermilion is less curved, and on a profile view, the lower lip vermilion is less convex than usual.	Height of the vermilion of the medial part of the lower lip more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the lower lip in the frontal view (subjective). [PMID:19125428]
HP:0001848	Calcaneovalgus deformity	Calcaneovalgus deformity may be related to abnormal positioning of the foot in utero and can resolve spontaneously after birth.	This is a postural deformity in which the foot is positioned up against the tibia. The heel (calcaneus) is positioned downward (that is, the ankle is flexed upward), and the heel is turned outward (valgus). [https://orcid.org/0000-0002-0736-9199]
HP:0008119	Deformed tarsal bones		
HP:0011733	Abnormality of adrenal physiology		A functional abnormality of the adrenal glands. [https://orcid.org/0000-0002-0736-9199]
HP:0034242	Abnormal fetal genitourinary system morphology		An anomalous structural finding of the fetal genitourinary system. Terms in this subhierarchy are restricted to findings that can only be observed in the prenatal period. Other HPO terms can also be used to describe fetal phenotypes. []
HP:0009928	Thick nasal alae		Increase in bulk of the ala nasi. [PMID:19152422]
HP:0011822	Broad chin		Increased width of the midpoint of the mandible (mental protuberance) and overlying soft tissue. [PMID:19125436]
HP:0009130	Hand muscle atrophy	This term can be used to described bilateral amyotrophy of the musculature of the hand.	Muscular atrophy involving the muscles of the hand. [https://orcid.org/0000-0002-0736-9199]
HP:0011470	Nasogastric tube feeding in infancy	This is a severe form of feeding problems in infancy.	Feeding problem necessitating nasogastric tube feeding. [HPO_CONTRIBUTOR:DDD_ncarter]
HP:0011298	Prominent digit pad	"The prominence of the finger or toe pads varies throughout life, being greater in neonates and dependent on the state of hydration. This term should not be used if the digit has clubbing. Note that the synonym ""fetal fingertip pads"" should not be interpreted to mean that the prominent pad necessarily was present in this individual since fetal life. We do not endorse the use of the term ""Persistent fetal pads"" as this term implies knowledge of the natural history of this finding, which may or may not be known."	A soft tissue prominence of the ventral aspects of the fingertips or toe tips. [PMID:19125433]
HP:0009129	Upper limb amyotrophy		Muscular atrophy involving the muscles of the upper limbs. [https://orcid.org/0000-0002-0736-9199]
HP:0011098	Speech apraxia	Speech apraxia may co-occur with oral apraxia and limb apraxia.	A type of apraxia that is characterized by difficulty or inability to execute speech movements because of problems with coordination and motor problems, leading to incorrect articulation. An increase of errors with increasing word and phrase length may occur. [https://orcid.org/0000-0002-0736-9199]
HP:0000968	Ectodermal dysplasia	This term is kept in the HPO for now as 'ectodermal dysplasia' has been recorded as a phenotypic of other disorders such as DEAFNESS WITH ANHIDROTIC ECTODERMAL DYSPLASIA (MIM125050). Nevertheless it is preferable to use precise descriptions of the phenotypic abnormalities and this term should not be used for new annotations. It will be made obsolete in the future.	Ectodermal dysplasia is a group of conditions in which there is abnormal development of the skin, hair, nails, teeth, or sweat glands. [https://orcid.org/0000-0002-0736-9199]
HP:0000846	Adrenal insufficiency	Adrenal insufficiency may cause persistent vomiting, anorexia, hypoglycemia, poor weight gain in a child, or unexplained weight loss in an adult, malaise, fatigue, muscular weakness, unexplained isotonic or hyponatremic dehydration, hyperkalemia, hypotension, hypoglycemia and especially generalized hyperpigmentation.	Insufficient production of steroid hormones (primarily cortisol) by the adrenal glands. [https://orcid.org/0000-0002-0736-9199, PMID:11443143]
HP:0008207	Primary adrenal insufficiency	Deficiency of both glucocorticoids and mineralocorticoids.	Insufficient production of steroid hormones (primarily cortisol) by the adrenal glands as a result of a primary defect in the glands themselves. [https://orcid.org/0000-0002-0736-9199]
HP:0100848	Neoplasm of the male external genitalia		A tumor (abnormal growth of tissue) of the male external genitalia. [https://orcid.org/0009-0006-4530-3154]
HP:0003416	Spinal canal stenosis	Stenosis of the spinal canal can result in neurological symptoms because of compression of the spinal cord or spinal nerve roots, depending on the location of the stenosis in the vertebral column.	An abnormal narrowing of the spinal canal. [https://orcid.org/0000-0002-0736-9199]
HP:0000748	Inappropriate laughter		
HP:0003302	Spondylolisthesis		Complete bilateral fractures of the pars interarticularis resulting in the anterior slippage of the vertebra. [https://orcid.org/0000-0002-0736-9199, PMID:20411054]
HP:0000447	Pear-shaped nose		
HP:0000403	Recurrent otitis media		Increased susceptibility to otitis media, as manifested by recurrent episodes of otitis media. [https://orcid.org/0000-0002-0736-9199]
HP:0012699	Anomaly of lower limb diaphyses		A structural abnormality of a diaphysis of the leg. [HPO_CONTRIBUTOR:UToronto_htrang]
HP:0012683	Pineal cyst	Pineal cysts are benign and often asymptomatic lesions. They are typically visualized by computed tomography or magnetic resonance imaging.	A glial uniloculated or multiloculated fluid-filled sac that either reside within or completely replace the pineal gland. [https://orcid.org/0000-0002-0736-9199, PMID:21801982]
HP:0012681	Abnormal pineal morphology	The pineal gland typically measures 7 x 6 x 3mm in size and is located in a groove between the laterally placed thalamic bodies.	A structural abnormality of the pineal gland. [HPO_CONTRIBUTOR:UToronto_htrang]
HP:0012680	Abnormality of the pineal gland		An anomaly of the pineal gland,a small endocrine gland in the brain that produces melatonin. [https://orcid.org/0000-0002-0736-9199]
HP:0007149	Distal upper limb amyotrophy		Muscular atrophy of distal arm muscles. [https://orcid.org/0000-0002-0736-9199]
HP:0030746	Intraventricular hemorrhage		Bleeding into the ventricles of the brain. [https://orcid.org/0000-0002-0003-6754]
HP:0010945	Fetal pyelectasis	The renal pelvis is the part of the kidney that collects urine. Fetal pyelectasis is a prenatal ultrasound finding that is diagnosed with enlargement of the renal pelvis from 4 to 10 millimeters. In many cases, fetal pyelectasis resolves spontaneously. Note that dilatation of the renal pelvis to more than 10 mm is referred to as severe pyelectasis or hydronephrosis. Measurements less than 5mm are normal, should not be designated as pyelectasis, and should not be reported (PMID:16100637).	Mild pyelectasis is defined as a hypoechoic spherical or elliptical space within the renal pelvis that measures at least 5mm and not more than 10 mm. The measurement is taken on a transverse section through the fetal renal pelvis using the maximum anterior-to-posterior measurement. [https://orcid.org/0000-0002-0736-9199, PMID:16100637]
HP:0001212	Prominent fingertip pads		A soft tissue prominence of the ventral aspects of the fingertips. The term \persistent fetal fingertip pads\ is often used as a synonym, but should better not be used because it implies knowledge of history of the patient which often does not exist. [https://orcid.org/0000-0002-0736-9199]
HP:0010788	Testicular neoplasm		The presence of a neoplasm of the testis. [https://orcid.org/0000-0002-0736-9199]
HP:0001054	Numerous nevi		
HP:0008445	Cervical spinal canal stenosis		An abnormal narrowing of the cervical spinal canal. [https://orcid.org/0000-0002-0736-9199]
HP:0008364	Abnormality of the calcaneus		An abnormality of the calcaneus, also known as the heel bone, one of the or heel bone, one of the components of the tarsus of the foot which make up the heel. [https://orcid.org/0000-0002-0736-9199]
HP:0025268	Stuttering		Disruptions in the production of speech sounds, with involuntary repetitions of words or parts of words, prolongations of speech sounds, or complete blockage of speech production for several seconds. []
HP:0002850	Decreased circulating total IgM		An abnormally decreased level of immunoglobulin M (IgM) in blood. [https://orcid.org/0000-0002-0736-9199]
HP:0004315	Decreased circulating IgG level		An abnormally decreased level of immunoglobulin G (IgG) in blood. [https://orcid.org/0000-0002-0736-9199]
HP:0002791	Hypoventilation	Not to be confused with Hypopnea, where the partial pressure of carbon dioxide can remain normal.	A reduction in the amount of air transported into the pulmonary alveoli by breathing, leading to hypercapnia (increase in the partial pressure of carbon dioxide). [https://orcid.org/0000-0002-0736-9199]
HP:0001712	Left ventricular hypertrophy		Enlargement or increased size of the heart left ventricle. [MP:0002625]
HP:0031218	Inappropriate antidiuretic hormone secretion	Common etiologies of inappropriate antidiuretic hormone (ADH) secretion include nervous system disease, cancer, pulmonary disease, and as a side effect of a medication. This term is meant to refer to the inappropriately high level of ADH and not to the full syndrome of inappropriate antidiuretic hormone secretion (SIADH), which is considered a disease entity rather than a phenotypic feature.	A state of increased circulating antidiuretic hormone despite hyponatremia and hypo-osmolality with normal or increased plasma volume. []
HP:0006958	Abnormal auditory evoked potentials	Auditory brainstem response audiometry typically uses a click stimulus that generates a response from the basilar region of the cochlea.	An abnormality of the auditory evoked potentials, which are used to trace the signal generated by a sound, from the cochlear nerve, through the lateral lemniscus, to the medial geniculate nucleus, and to the cortex. [https://orcid.org/0000-0002-0736-9199]
HP:0020110	Bone fracture		A partial or complete breakage of the continuity of a bone. []
HP:0012450	Chronic constipation		Constipation for longer than three months with fewer than 3 bowel movements per week, straining, lumpy or hard stools, and a sensation of anorectal obstruction or incomplete defecation. [https://orcid.org/0000-0001-5208-3432]
HP:0007430	Generalized edema		Generalized abnormal accumulation of fluid beneath the skin, or in one or more cavities of the body. [https://orcid.org/0000-0002-0736-9199]
HP:0004463	Absent brainstem auditory responses		Lack of measurable response to stimulation of auditory evoked potentials. [https://orcid.org/0000-0002-0736-9199]
HP:0001711	Abnormal left ventricle morphology		Any structural abnormality of the left ventricle of the heart. [https://orcid.org/0000-0002-0736-9199]
HP:0001433	Hepatosplenomegaly		Simultaneous enlargement of the liver and spleen. [https://orcid.org/0000-0002-0736-9199]
HP:0410243	Abnormal circulating IgM level		An abnormal deviation from normal levels of IgM immunoglobulin in blood. []
HP:0410242	Abnormal circulating IgG level		An abnormal deviation from normal levels of IgG immunoglobulin in blood. []
HP:0002290	Poliosis		Circumscribed depigmentation of the hair of the head or the eyelashes. [https://orcid.org/0000-0002-0736-9199]
HP:0008368	Tarsal synostosis		Synostosis (bony fusion) involving one or more bones of the tarsus (calcaneus, talus, cuboid, navicular, cuneiiform bones). [https://orcid.org/0000-0002-0736-9199]
HP:0004440	Coronal craniosynostosis		Premature closure of the coronal suture of skull. [https://orcid.org/0000-0002-0736-9199]
HP:0009140	Synostosis involving bones of the feet		
HP:0009138	Synostosis involving bones of the lower limbs		An abnormal union between bones or parts of bones lower limbs. [https://orcid.org/0009-0006-4530-3154]
HP:0008197	Absence of pubertal development		
HP:0000217	Xerostomia		Dryness of the mouth due to salivary gland dysfunction. [https://orcid.org/0000-0002-0736-9199]
HP:0002591	Polyphagia		A neurological anomaly with gross overeating associated with an abnormally strong desire or need to eat. [https://orcid.org/0000-0002-0736-9199]
HP:0002494	Abnormal rapid eye movement sleep		Abnormality of REM sleep. Phases of REM sleep are characterized by desynchronized EEG patterns, increases in heart rate and blood pressure, sympathetic activation, and a profound loss of muscle tonus except for the eye and middle-ear muscles. There are then phases of rapid eye movements. [https://orcid.org/0000-0002-0736-9199]
HP:0011787	Central hypothyroidism		A type of hypothyroidism due to an insufficient stimulation of an otherwise normal thyroid gland. Central hypothyroidism is caused by either pituitary (secondary hypothyroidism) or hypothalamic (tertiary hypothyroidism) defects. [https://orcid.org/0000-0002-0538-4547, PMID:18415684]
HP:0002033	Poor suck		An inadequate sucking reflex, resulting in the difficult of newborns to be breast-fed. [https://orcid.org/0000-0002-0736-9199]
HP:0010829	Impaired temperature sensation	Temperature sensation can be tested by touching the skin several seconds with a water flask filled to the desired temperature. Persons with normal temperature sensation should at least be able to identify as warm a flask that is 35-36 degrees C and identify as cool a flask at 28-32 degrees C.	A reduced ability to discriminate between different temperatures. [https://orcid.org/0000-0002-0736-9199]
HP:0001558	Decreased fetal movement		An abnormal reduction in quantity or strength of fetal movements. [https://orcid.org/0000-0002-0736-9199]
HP:0040202	Abnormal consumption behavior		Abnormal and compulsive consumption of food, liquid, or objects that could have negative consequences for the individual. []
HP:0040030	Chorioretinal hypopigmentation		
HP:0000789	Infertility		
HP:0000446	Narrow nasal bridge	The narrowness may be accompanied by a sharp, keel-shaped appearance. The nasal bridge may narrow with age.	Decreased width of the bony bridge of the nose. [PMID:19152422]
HP:0000786	Primary amenorrhea		
HP:0100738	Abnormal eating behavior	Note that this HPO term refers to an abnormal eating habit but does not directly refer to an eating disorder, which is a psychological disorder that is characterized by one or more abnormal eating behaviors.	Abnormal eating habit with excessive or insufficient consumption of food or any other abnormal pattern of food consumption. []
HP:0000709	Psychosis		A condition characterized by changes of personality and thought patterns often accompanied by hallucinations and delusional beliefs. [https://orcid.org/0000-0002-0736-9199]
HP:0012743	Abdominal obesity		Excessive fat around the stomach and abdomen. [https://orcid.org/0000-0002-0736-9199]
HP:0012411	Premature pubarche		The onset of growth of pubic hair at an earlier age than normal. [https://orcid.org/0000-0002-0736-9199]
HP:0007661	Abnormality of chorioretinal pigmentation		
HP:0000054	Micropenis		Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm. [https://orcid.org/0000-0002-0736-9199, PMID:15102623]
HP:0000046	Small scrotum	A small scrotum is often accompanied by Cryptorchidism which should be coded separately. The size of the scrotum is dependent on the ambient temperature: a low temperature may cause the testes to retract, leading to the false impression of a small scrotum.	Apparently small scrotum for age. [PMID:23650202]
HP:0008734	Decreased testicular size		Reduced volume of the testicle (the male gonad). [https://orcid.org/0000-0002-0736-9199]
HP:0001557	Prenatal movement abnormality	Fetal movements generally become apparent during the second trimester of pregnancy around the 20th week but occasionally up to the 25th week. The initiation of perceptible fetal movements is referred to as 'quickening'.	An abnormality of fetal movement. [https://orcid.org/0000-0002-0736-9199]
HP:0012287	Hypothalamic luteinizing hormone-releasing hormone deficiency		Decreased secretion of luteinizing hormone-releasing hormone by the hypothalamus. [https://orcid.org/0000-0002-0736-9199]
HP:0012285	Abnormal hypothalamus physiology	The hypothalamus is linked vascularly with the anterior lobe of the pituitary gland and thereby controls the secretion of pituitary hormones.	An abnormal functionality of the hypothalamus. [https://orcid.org/0000-0002-0736-9199]
HP:0012166	Skin-picking		Repetitive and compulsive picking of skin which results in tissue damage. [https://orcid.org/0000-0002-0736-9199, PMID:20575652]
HP:0001612	Weak cry		
HP:0005968	Temperature instability		Disordered thermoregulation characterized by an impaired ability to maintain a balance between heat production and heat loss, with resulting instability of body temperature. [https://orcid.org/0000-0002-0736-9199]
HP:0025429	Abnormal cry		Any anomaly of the vocalizing of an infant's crying, i.e.,the typically loud voice production that is accompanied by tears and agitation. []
HP:0025237	Confusional arousal		A nocturnal episode characterized by disorientation, grogginess, and, at times, substantial agitation upon awakening from slow-wave sleep or following forced awakenings. These characteristics might present as agitation, crying or moaning, disorientation, and particularly slow mentation on arousal from sleep (i.e., sleep inertia). The duration of episodes is typically 5 to 15 min but they might last up to several hours. [PMID:27647645]
HP:0025234	Parasomnia		An undesirable physical event or experience that occurs during entry into sleep, during sleep, or during arousal from sleep. [PMID:27647645]
HP:0002878	Respiratory failure	Respiratory failure is classified as type 1 with hypoxemia (arterial partial pressure of oxygen less than 60 mmHg) without hypercapnea, and type 2 with hypoxemia in the present of hypercapnea (partial pressure of carbon dioxide over 50 mmHg).	A severe form of respiratory insufficiency characterized by inadequate gas exchange such that the levels of oxygen or carbon dioxide cannot be maintained within normal limits. [https://orcid.org/0000-0002-0736-9199]
HP:0034644	Abnormal liver metabolite concentration		The concentration of a metabolite in the liver is above or below the limits of normal. []
HP:0001410	Decreased liver function		Reduced ability of the liver to perform its functions. [https://orcid.org/0000-0002-0736-9199]
HP:0002490	Increased CSF lactate		Increased concentration of lactate in the cerebrospinal fluid. [https://orcid.org/0000-0002-0736-9199]
HP:0002401	Stroke-like episode	Stroke-like episodes are phenotypic features predominantly of mitochondrial disorders, most frequently mitochondrial encephalopathy, lactacidosis, SLE (MELAS)-syndrome, and mimic the clinical manifestations of ischemic stroke to some extent.	No consensus exists on what a stroke-like episode is, but these episodes can be functionally defined as a new neurological deficit, occurring with or without the context of seizures, which last longer than 24 hours. [PMID:22715346, PMID:23907585]
HP:0002344	Progressive neurologic deterioration		
HP:0002310	Orofacial dyskinesia		
HP:0001268	Mental deterioration		Loss of previously present mental abilities, generally in adults. [https://orcid.org/0000-0002-0736-9199]
HP:0001397	Hepatic steatosis	Although steatosis is the hallmark of the fatty liver disease, it is not a specific feature because it can be seen as part of other disease processes, such as drug injury, Wilson disease, or hepatitis C virus infection (especially genotype-3). Involvement of less than 5% of the hepatocytes by steatosis is considered clinically insignificant and within reference range. Based on the morphologic appearance and the size of the lipid droplets within the cytoplasm of the hepatocytes, steatosis is characterized as macrovesicular or microvesicular. Macrovesicular steatosis is characterized by large lipid droplets occupying the cytoplasm, displacing the nucleus to the periphery (large droplet macrovesicular steatosis) or multiple small lipid droplets of variable size occupying the cytoplasm with the nucleus maintaining its central location (small droplet macrovesicular steatosis). Microvesicular steatosis is characterized by innumerable tiny, relatively uniform lipid vacuoles that result in a bubbly appearance of the hepatocytes.	Steatosis is a term used to denote lipid accumulation within hepatocytes. [https://orcid.org/0000-0002-0736-9199, PMID:31603713]
