disorder_id,name,orpha_code,definition,prevalence_geo
1039,Duane retraction syndrome,233,"A rare, ocular congenital cranial dysinnervation disorder characterized by limited horizontal eye movement accompanied by globe retraction and palpebral fissure narrowing on attempted adduction.",Europe=1-5 / 10 000
1280,Acro-renal-ocular syndrome,959,"A rare syndrome of multiple congenital anomalies characterized by radial ray malformations, renal abnormalities (mild malrotation, ectopia, horseshoe kidney, renal hypoplasia, vesico-ureteral reflux, bladder diverticula), and ophthalmological abnormalities (mainly colobomas, but also microphthalmia, ptosis, and Duane anomaly). The phenotype overlaps with other <i>SALL4</i>-related disorders including Okihiro syndrome and Holt-Oram syndrome.",Worldwide=<1 / 1 000 000
2168,IVIC syndrome,2307,"IVIC syndrome is a very rare genetic malformation syndrome characterized by upper limb anomalies (radial ray defects, carpal bone fusion), extraocular motor disturbances, and congenital bilateral non-progressive mixed hearing loss.",Worldwide=<1 / 1 000 000
19897,Okihiro syndrome due to 20q13 microdeletion,261638,,Unknown
324,"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency",753,A rare disorder of sex development (DSD) due to a defect in metabolizing testosterone to dihydrotestosterone and characterized by incomplete intrauterine masculinization which ranges from a female genitalia with a blind vaginal pouch to a fully male phenotype with pseudovaginal posterior hypospadias and micropenis.,Unknown
564,Familial spontaneous pneumothorax,2903,"Familial spontaneous pneumothorax is a rare, genetic pulmonary disease characterized by the uni- or bilateral accumulation of air in the pleural cavity in persons with a positive family history and no underlying lung disease or previous chest trauma. Patients typically present dyspnea associated with acute onset of sharp and steady pleutiric chest pain of variable severity (which resolves within 24h even though pneumothorax is still present). Reflex tachycardia and/or respiratory or circulatory compromise may be observed. Other syndromes (e.g. Birt-Hogg-Dube, Marfan or Ehlers-Danlos syndromes) may be associated.",Finland=1-5 / 10 000
8627,Birt-Hogg-Dubé syndrome,122,"A rare inherited cancer-predisposing syndrome characterized by skin lesions, kidney tumors, and pulmonary cysts that may be associated with pneumothorax.",Europe=1-9 / 1 000 000
23138,Hereditary clear cell renal cell carcinoma,422526,"Hereditary clear cell renal cell carcinoma (ccRCC) is a hereditary renal cancer syndrome defined as development of ccRCC in two or more family members without evidence of constitutional chromosome 3 translocation, von Hippel-Lindau disease or other tumor predisposing syndromes associated with ccRCC, such as tuberous sclerosis or Birt-Hogg-Dubbé syndrome.",Unknown
287,Ellis Van Creveld syndrome,289,"A rare chondral and ectodermal dysplasia characterized by short ribs, polydactyly, growth retardation, and ectodermal and heart defects.",Unknown
1272,"Acrofacial dysostosis, Weyers type",952,"A rare ectodermal dysplasia syndrome with bone abnormalities characterized by onychodystrophy; anomalies of the lower jaw, oral vestibule and dentition; post-axialpolydactyly; moderately restricted growth with short limbs; and normal intelligence. Although it closely resembles Ellis-van Creveld syndrome (see this term), an allelic disorder and another type of ciliopathy, WAD is usually a milder disease without the presence of heart abnormalities and is inherited in an autosomal dominant manner.",Unknown
20528,Self-improving collodion baby,281122,Self-healing collodion baby (SHCB) is a minor variant of autosomal recessive congenital ichthyosis (ARCI; see this term) characterized by the presence of a collodion membrane at birth that heals within the first weeks of life.,Worldwide=<1 / 1 000 000
967,Van der Woude syndrome,888,"Van der Woude syndrome (VWS) is a rare congenital genetic dysmorphic syndrome characterized by paramedian lower-lip fistulae, cleft lip with or without cleft palate, or isolated cleft palate.","Finland=1-9 / 100 000;France=1-9 / 100 000;Australia=1-9 / 100 000;Taiwan, Province of China=1-9 / 1 000 000;United States=1-9 / 1 000 000;Europe=1-9 / 100 000"
1534,Autosomal dominant popliteal pterygium syndrome,1300,"A rare genetic, multiple congenital anomalies syndrome characterized by cleft lip, with or without cleft palate, pits in the lower lip, contractures of the lower extremities, abnormal external genitalia, syndactyly of fingers and/or toes, and a pyramidal skin fold over the hallux nail.",Unknown
14371,Oligodontia,99798,Oligodontia is a rare developmental dental anomaly in humans characterized by the absence of six or more teeth.,Unknown
17077,Cleft lip and alveolus,141291,"Cleft lip and alveolus is a fissure type embryopathy that involves the upper lip, nasal base and alveolar ridge in variable degrees.",Europe=6-9 / 10 000
18394,Isolated cleft lip,199302,Isolated cleft lip is a fissure type embryopathy extending from the upper lip to the nasal base.,Europe=1-5 / 10 000
18395,Cleft lip/palate,199306,"Cleft lip and palate is a fissure type embryopathy extending across the upper lip, nasal base, alveolar ridge and the hard and soft palate.",Europe=1-5 / 10 000
2548,Partial pancreatic agenesis,2805,Partial agenesis of the pancreas is characterized by the congenital absence of a critical mass of pancreatic tissue.,Worldwide=<1 / 1 000 000
10870,Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome,65288,Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome is characterized by neonatal diabetes mellitus associated with cerebellar and/or pancreatic agenesis.,Worldwide=<1 / 1 000 000
19198,Hermansky-Pudlak syndrome due to BLOC-1 deficiency,231531,,Worldwide=<1 / 1 000 000
11350,ALG12-CDG,79324,"A form of congenital disorders of N-linked glycosylation characterized by facial dysmorphism (prominent forehead, large ears, thin upper lip), generalized hypotonia, feeding difficulties, moderate to severe developmental delay, progressive microcephaly, frequent upper respiratory tract infections due to impaired immunity with decreased immunoglobulin levels, and decreased coagulation factors. Additional features include hypogonadism with or without hypospadias in males, skeletal anomalies, seizures and cardiac anomalies in some cases. The disease is caused by loss of function mutations of the gene <i>ALG12</i> (22q13.33).",Worldwide=<1 / 1 000 000
230,WAGR syndrome,893,"A rare genetic disorder characterized by the association of total or partial aniridia, genitourinary anomalies (ranging from sexual ambiguity to ectopia testis), variable degrees of intellectual disability, and an increased risk of developing Wilms tumor. Glaucoma or cataract are also possible, and a minority of patients develop kidney failure. Other varaible findings may include obesity and duplicated halluces.",Unknown
416,Aniridia-cerebellar ataxia-intellectual disability syndrome,1065,"A rare, congenital, neurological disorder characterized by the association of partial bilateral aniridia with non-progressive cerebellar ataxia, and intellectual disability.",Worldwide=<1 / 1 000 000
512,Foveal hypoplasia-presenile cataract syndrome,2253,"Foveal hypoplasia-presenile cataract syndrome is a rare, genetic ocular disease characterized by congenital nystagmus (horizontal, vertical and/or torsional), foveal hypoplasia, presenile cataracts (with typical onset in the second to third decade of life), and normal irides. Corneal pannus and/or optic nerve hypoplasia may also be present.",Worldwide=<1 / 1 000 000
742,Autosomal dominant keratitis,2334,"Hereditary keratitis is characterised by opacification and vascularisation of the cornea, often associated with macula hypoplasia.",Unknown
2590,Peters anomaly,708,Peters anomaly (PA) is a congenital corneal opacity disorder characterized by a central corneal leukoma that obstructs the pupil leading to visual loss as well as absence of the posterior corneal stroma and Descemet membrane.,Worldwide=<1 / 1 000 000
10399,Morning glory disc anomaly,35737,"A congenital optic disc anomaly characterized by a funnel shaped excavation of the posterior fundus that incorporates the optic disc. Clinically, the optic disc malformation resembles the morning glory flower. Morning glory disc anomaly (MGDA) is usually unilateral and often results in a decrease in best-corrected visual acuity (BCVA). MGDA can be isolated or associated with other ocular or non-ocular anomalies.",Unknown
19593,Isolated aniridia,250923,Isolated aniridia is a congenital bilateral ocular malformation characterized by the complete or partial absence of the iris.,Norway=1-9 / 100 000;Sweden=1-9 / 100 000;Europe=1-9 / 100 000
2773,Meacham syndrome,3097,"Meacham syndrome is a multiple malformation syndrome characterized by congenital diaphragmatic abnormalities, genital defects and cardiac malformations.",Worldwide=<1 / 1 000 000
3552,Denys-Drash syndrome,220,"A rare genetic, syndromic glomerular disorder characterized by the association of nephropathy presenting as persistent proteinuria or overt nephrotic syndrome, Wilms tumor and genitourinary structural defects. In addition, disorders of testicular development are common in subjects with 46,XY karyotype.",Unknown
3616,Frasier syndrome,347,"A rare genetic, syndromic glomerular disorder characterized by the association of progressive glomerular nephropathy and 46,XY complete gonadal dysgenesis with a high risk of developing gonadoblastoma.",Worldwide=<1 / 1 000 000
11579,Desmoplastic small round cell tumor,83469,"An aggressive soft tissue cancer that typically arises in serous lined surfaces of the abdominal or pelvic peritoneum, and spreads to the omentum, lymph nodes and hematogenously disseminates especially to the liver. Extraserous primary location has been reported in exceptional cases.",Unknown
12557,Hereditary renal hypouricemia,94088,A genetic renal tubular disorder characterized by urinary urate wasting that typically leads to asymptomatic hypouricemia and predisposes to urolithiasis and exercise-induced acute renal failure (EIARF).,Unknown
465,Homocystinuria due to methylene tetrahydrofolate reductase deficiency,395,Homocystinuria due to methylene tetrahydrofolate reductase (MTHFR) deficiency is a metabolic disorder characterised by neurological manifestations.,Unknown
20187,Total spina bifida aperta,268377,,Unknown
20188,Thoracolumbosacral spina bifida aperta,268384,,Unknown
20189,Lumbosacral spina bifida aperta,268388,,Unknown
20190,Cervical spina bifida aperta,268392,,Unknown
20191,Cervicothoracic spina bifida aperta,268397,,Unknown
20192,Upper thoracic spina bifida aperta,268740,,Unknown
20194,Total spina bifida cystica,268748,,Unknown
20195,Thoracolumbosacral spina bifida cystica,268752,,Unknown
20196,Lumbosacral spina bifida cystica,268758,,Unknown
20197,Cervical spina bifida cystica,268762,,Unknown
20198,Cervicothoracic spina bifida cystica,268766,,Unknown
20199,Upper thoracic spina bifida cystica,268770,,Unknown
9282,Primary hypomagnesemia with secondary hypocalcemia,30924,"Primary hypomagnesemia with secondary hypocalcemia (PHSH) is a form of familial primary hypomagnesemia (FPH, see this term), characterized by severe hypomagnesemia and secondary hypocalcemia associated with neurological symptoms, including generalized seizures, tetany and muscle spasms. PHSH may be fatal or may result in chronic irreversible neurological complications.",Europe=<1 / 1 000 000
12771,Kleefstra syndrome due to 9q34 microdeletion,96147,,Worldwide=<1 / 1 000 000
19899,Kleefstra syndrome due to a point mutation,261652,,Worldwide=<1 / 1 000 000
12587,COG8-CDG,95428,"The CDG (Congenital Disorders of Glycosylation) syndromes are a group of autosomal recessive disorders affecting glycoprotein synthesis. CDG syndrome type IIh is characterised by severe psychomotor retardation, failure to thrive and intolerance to wheat and dairy products.",Worldwide=<1 / 1 000 000
11318,Fish-eye disease,79292,"Fish eye disease (FED) is a form of genetic LCAT (lecithin-cholesterol acyltransferase) deficiency (see this term) characterized clinically by corneal opacifications, and biochemically by significantly reduced HDL cholesterol and partial LCAT enzyme deficiency.",Worldwide=<1 / 1 000 000
11319,Familial LCAT deficiency,79293,"Familial LCAT (lecithin-cholesterol acyltransferase) deficiency (FLD) is a form of lecithin-cholesterol acyltransferase deficiency (LCAT; see this term) characterized clinically by corneal opacities, hemolytic anemia, and renal failure, and biochemically by severely decreased HDL cholesterol and complete deficiency of the LCAT enzyme.",Worldwide=<1 / 1 000 000
220,Waardenburg syndrome type 2,895,"An autosomal dominant subtype of Waardenburg syndrome (WS) characterized by varying degrees of deafness and pigmentation anomalies of eyes, hair and skin, but without dystopia canthorum.",Worldwide=<1 / 1 000 000
11457,Oculocutaneous albinism type 1A,79431,"A severe form of oculocutaneous albinism type 1 (OCA1) characterized by complete absence of melanin and manifesting as white hair and skin, blue, fully translucent irises, nystagmus and misrouting of the optic nerves.",Worldwide=1-9 / 100 000
11460,Oculocutaneous albinism type 1B,79434,"A form of oculocutaneous albinism type 1 (OCA1) characterized by skin and hair hypopigmentation, nystagmus, reduced iris and retinal pigment and misrouting of the optic nerves.",Worldwide=1-9 / 100 000
22110,Minimal pigment oculocutaneous albinism type 1,352734,"An extremely rare form of Oculocutaneous albinism type 1 with minimal pigment present, characterized by blond hair (white at birth), variable iris transillumination (blue irides at birth followed by minimal development of pigment during the first decade of life), visual acuity ranging from 20/80-20/200 and white skin, with or without skin nevi.",Worldwide=<1 / 1 000 000
22111,Temperature-sensitive oculocutaneous albinism type 1,352737,"An extremely rare form of oculocutaneous albinism type 1 characterized by temperature sensitive hair pigmentation leading to dark hair on the hands, feet, legs, arms and chest (cooler body areas) and white or pale yellow hair on the scalp, axilla and pubic area (warmer body areas). Nystagmus and reduced visual acuity are also noted.",Worldwide=<1 / 1 000 000
249,Chédiak-Higashi syndrome,167,"Chédiak-Higashi syndrome (CHS) is a rare severe genetic disorder generally characterized by partial oculocutaneous albinism (OCA, see this term), severe immunodeficiency, mild bleeding, neurological dysfunction and lymphoproliferative disorder. A classic, early-onset form and an attenuated, later-onset form (Atypical CHS; see this term) have been described.",Unknown
22107,Attenuated Chédiak-Higashi syndrome,352723,"A very rare and atypical form of Chédiak-Higashi syndrome (CHS), a genetic disorder characterized by partial oculocutaneous albinism, severe immunodeficiency, mild bleeding, neurological dysfunction and lymphoproliferative disorder.",Europe=<1 / 1 000 000
18495,Infantile Krabbe disease,206436,,Unknown
10963,Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency,70592,Interleukin-1 receptor-associated kinase-4 (IRAK-4) deficiency is an immunodeficiency associated with increased susceptibility to invasive infections caused by pyogenic bacteria.,Worldwide=<1 / 1 000 000
134,Wilson disease,905,"A rare genetic disorder of copper metabolism presenting with non-specific hepatic, neurologic, psychiatric or ophthalmologic manifestations due to impaired biliary copper excretion and consecutive excessive copper deposition in the body.",Europe=1-9 / 100 000;Worldwide=1-9 / 100 000;France=1-9 / 100 000;China=1-5 / 10 000;Specific population=1-5 / 10 000
14623,Hereditary angioedema type 1,100050,"A form of hereditary angioedema characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway.",Italy=1-9 / 100 000;Europe=1-9 / 100 000
14624,Hereditary angioedema type 2,100051,"Hereditary angioedema type 2 (HAE 2) is a form of hereditary angioedema (see this term) characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway.",Unknown
293,Treacher-Collins syndrome,861,"A rare genetic mandibulofacial dysostosis characterized by bilateral symmetrical oto-mandibular dysplasia including underdeveloped cheekbones (malar hypoplasia), a very small low jaw (micrognathia) and downward-slanting palpebral fissures, coloboma of the lower eyelids, microtia, hearing loss and without abnormalities of the extremities. Intelligence is normal.",France=1-9 / 1 000 000;Japan=1-9 / 100 000;Europe=1-9 / 100 000
1328,Alström syndrome,64,"A rare multisystemic disorder characterized by cone-rod dystrophy, hearing loss, obesity, insulin resistance and hyperinsulinemia, type 2 diabetes mellitus, dilated cardiomyopathy (DCM), and progressive hepatic and renal dysfunction.",Europe=1-9 / 1 000 000
45,Friedreich ataxia,95,"Friedreich ataxia (FRDA) is an inherited neurodegenerative disorder classically characterized by progressive gait and limb ataxia, dysarthria, dysphagia, oculomotor dysfunction, loss of deep tendon reflexes, pyramidal tract signs, scoliosis, and in some, cardiomyopathy, diabetes mellitus, visual loss and defective hearing.",Europe=1-9 / 100 000;France=1-9 / 100 000;Italy=1-9 / 100 000;Spain=1-9 / 100 000;Finland=1-9 / 1 000 000;Denmark=1-9 / 1 000 000;Portugal=1-9 / 1 000 000;United Kingdom=1-9 / 100 000;Greece=1-9 / 1 000 000;Norway=1-9 / 100 000;Germany=1-9 / 100 000;Sweden=1-9 / 1 000 000;Czech Republic=1-9 / 1 000 000;Russian Federation=1-9 / 100 000
18523,POMGNT1-related  limb-girdle muscular dystrophy R15,206564,"A form of limb-girdle muscular dystrophy characterized by an onset in childhood or adolescence of rapidly progressive proximal limb muscle weakness (particularly affecting the neck, hip girdle, and shoulder abductors), hypertrophy in the calves and quadriceps, ankle contractures, and myopia.",Worldwide=<1 / 1 000 000
21321,"Glycogen storage disease due to acid maltase deficiency, infantile onset",308552,"Glycogen storage disease due to acid maltase deficiency, infantile onset is the most severe form of glycogen storage disease due to acid maltase deficiency, characterized by cardiomegaly with respiratory distress, muscle weakness and feeding difficulties. It is often fatal.",Unknown
23106,"Glycogen storage disease due to acid maltase deficiency, late-onset",420429,"Glycogen storage disease due to acid maltase deficiency, late onset (AMDL), a form of Glycogen storage disease due to acid maltase deficiency (AMD), a degenerative metabolic myopathy particularly affecting respiratory and skeletal muscles, is characterized by an accumulation of glycogen in lysosomes.",Unknown
3295,Malonic aciduria,943,Malonic aciduria is a metabolic disorder caused by deficiency of malonyl-CoA decarboxylase (MCD).,Worldwide=<1 / 1 000 000
1309,Aicardi-Goutières syndrome,51,"An inherited, subacute encephalopathy characterised by the association of basal ganglia calcification, leukodystrophy and cerebrospinal fluid (CSF) lymphocytosis.",Europe=1-5 / 10 000
25239,Familial Chilblain lupus,481662,"A rare monogenic form of cutaneous lupus erythematosus characterized by infantile or childhood onset of cold-induced erythematous papules or plaques predominantly on the fingers, toes, nose, cheeks, and ears. Recurrent ulceration of the lesions may lead to necrotic tissue destruction and mutilation. Patients may experience ischemia of the affected acral regions. Histological findings include cutaneous perivascular inflammatory infiltrates with deposits of immunoglobulins or complement.",Worldwide=<1 / 1 000 000
209,Diastrophic dysplasia,628,"A rare disorder marked by short stature with short extremities (final adult height is 120cm +/- 10cm), and joint malformations leading to multiple joint contractures (principally involving the shoulders, elbows, interphalangeal joints and hips).",Europe=1-9 / 100 000;Finland=1-9 / 100 000
10766,Atelosteogenesis type II,56304,"A rare, lethal perinatal bone dysplasia characterized by limb shortening, normal sized skull with cleft palate, hitchhiker thumbs, distinctive facial dysmorphism and radiographic skeletal features, caused by mutations in the diastrophic dysplasia sulfate transporter gene.",Worldwide=<1 / 1 000 000
12235,Achondrogenesis type 1B,93298,"A rare, lethal type of achondrogenesis characterized by severe micromelia with very short fingers and toes, a flat face, a short neck, thickened soft tissue around the neck, hypoplasia of the thorax, protuberant abdomen, a hydropic fetal appearance and distinctive histological features of the cartilage.",Unknown
12244,Multiple epiphyseal dysplasia type 4,93307,"Multiple epiphyseal dysplasia type 4 is a multiple epiphyseal dysplasia with a late-childhood onset, characterized by joint pain involving hips, knees, wrists, and fingers with occasional limitation of joint movements, deformity of hands, feet, and knees (club foot, clinodactyly, brachydactyly), scoliosis and slightly reduced adult height. Radiographs display flat epiphyses with early arthritis of the hip, and double-layered patella. Multiple epiphyseal dysplasia type 4 follows an autosomal recessive mode of transmission. The disease is allelic to diastrophic dwarfism, atelosteogenesis type 2 and achondrogenesis type 1B with whom it forms a clinical continuum.",Unknown
97,Autosomal recessive polycystic kidney disease,731,"A rare, genetic hepatorenal fibrocystic syndrome characterized by cystic dilatation and ectasia of renal collecting tubules, and a ductal plate malformation of the liver resulting in congenital hepatic fibrosis. Clinical presentation, whilst typically in utero or at birth, is variable and in the most severe cases includes Potter-sequence, oligohydramnios, pulmonary hypoplasia, and massively enlarged echogenic kidneys.",Unknown
10715,Caroli disease,53035,Caroli disease (CD) is a rare congenital liver disease characterized by non-obstructive cystic dilatations of the intra-hepatic and rarely extra-hepatic bile ducts.,Unknown
19195,Hermansky-Pudlak syndrome due to BLOC-3 deficiency,231500,"Hermansky-Pudlak syndrome with pulmonary fibrosis as a complication includes two types (HPS-1 and HPS-4) of Hermansky-Pudlak syndrome (HPS; see this term), a multi-system disorder characterized by oculocutaneous albinism, bleeding diathesis and, in some cases, pulmonary fibrosis or granulomatous colitis.",Unknown
588,Sotos syndrome,821,"A rare genetic overgrowth syndrome characterized by a typical facial appearance, overgrowth with macrocephaly and variable intellectual impairment.",Worldwide=1-9 / 100 000;Europe=1-9 / 1 000 000
604,Weaver syndrome,3447,"Weaver syndrome (WVS) is a rare, multisystem disorder characterized by tall stature, a typical facial appearance (hypertelorism, retrognathia) and variable intellectual disability. Additional features may include camptodactyly, soft doughy skin, umbilical hernia, and a low hoarse cry.",Worldwide=<1 / 1 000 000
1121,Deletion 5q35,1627,"Deletion 5q35 refers to the different congenital malformation syndromes resulting from deletions of variable extent of the terminal part of the long arm of chromosome 5 (5q), spanning the region from 5q35.1 to 5q35.3 . The most significant anomaly is a recurring deletion in 5q35.2 comprising the <i>NSD1</i> gene that causes Sotos syndrome that is characterized by cardinal features including excessive growth during childhood, macrocephaly, distinctive facial gestalt and various degrees of learning difficulty. Subtelomeric deletions of the terminal 3.5 Mb region on 5q35.3 are very rare, characterized by prenatal lymphedema with increased nuchal translucency, pronounced muscular hypotonia in infancy, borderline intelligence, postnatal short stature due to growth hormone deficiency, and a variety of minor anomalies such as mildly bell-shaped chest, minor congenital heart defects and a distinct facial gestalt. Larger deletions including bands 5q35.1, 5q35.2 and 5q35.3 cause a more severe phenotype that associates severe developmental delay with microcephaly, and significant cardiac defects (e.g. atrial septal defect with/without atrioventricular conduction defects, Ebstein anomaly, tetralogy of Fallot) linked to haploinsufficiency of <i>NKX2.5</i> (5q35.1). Various combinations of signs may result from deletions of variable extent depending on the genes comprised in the deleted segment.",Worldwide=<1 / 1 000 000
19128,5q35 microduplication syndrome,228415,"The newly described 5q35 microduplication syndrome is associated with microcephaly, short stature, developmental delay and delayed bone maturation.",Worldwide=<1 / 1 000 000
796,Bernard-Soulier syndrome,274,"Bernard Soulier syndrome (BSS) is an inherited platelet disorder characterized by mild to severe bleeding tendency , macrothrombocytopenia and absent ristocetin-induced platelet agglutination.",Worldwide=<1 / 1 000 000
10700,Pseudo-von Willebrand disease,52530,"A bleeding disorder characterized by mild to moderate mucocutaneous bleeding, which becomes more pronounced during pregnancy or following ingestion of drugs that have anti-platelet activity. This disease is due to hyperresponsive platelets, resulting in thrombocytopenia.",Worldwide=<1 / 1 000 000
16706,Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1,137681,"Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1 is a rare, inherited mitochondrial disorder due to a defect in mitochondrial protein synthesis characterized by intrauterine growth retardation, metabolic decompensation with recurrent vomiting, persistent severe lactic acidosis, encephalopathy, seizures, failure to thrive, severe global developmental delay, poor eye contact, severe muscular hypotonia or axial hypotonia with limb hypertonia, hepatomegaly and/or liver dysfunction and/or liver failure, leading to fatal outcome in severe cases. Neuroimaging abnormalities may include corpus callosum thinning, leukodystrophy, delayed myelination and basal ganglia involvement.",Worldwide=<1 / 1 000 000
1812,Schimke immuno-osseous dysplasia,1830,"A rare a multisystem disorder characterized by spondyloepiphyseal dysplasia and disproportionate short stature, facial dysmorphism, T-cell immunodeficiency, and progressive, proteinuric steroid-resistant nephropathy.",Worldwide=<1 / 1 000 000
124,Systemic lupus erythematosus,536,,"France=1-5 / 10 000;Martinique=6-9 / 10 000;New Zealand=1-5 / 10 000;Korea, Republic of=1-5 / 10 000;United States=1-5 / 10 000;Taiwan, Province of China=1-5 / 10 000;Europe=1-5 / 10 000;Finland=1-5 / 10 000"
19537,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations,247691,"Retinal vasculopathy and cerebral leukodystrophy (RVCL) is an inherited group of small vessel diseases comprised of cerebroretinal vasculopathy (CRV), hereditary vascular retinopathy (HRV) and hereditary endotheliopathy with retinopathy, nephropathy and stroke (HERNS; see these terms); all exhibiting progressive visual impairment as well as variable cerebral dysfunction.",Unknown
14517,Autosomal dominant Charcot-Marie-Tooth disease type 2K,99944,An axonal Charcot-Marie-Tooth (CMT) peripheral sensorimotor polyneuropathy.,Worldwide=<1 / 1 000 000
14521,Charcot-Marie-Tooth disease type 4A,99948,"Charcot-Marie-Tooth disease type 4A (CMT4A) is a subtype of Charcot-Marie-Tooth disease type 4 characterized by early-onset (infancy to early childhood) of severe, rapidly progressing demyelinating, axonal, or intermediate sensorimotor neuropathy usually affecting first, and more severely, the distal lower extremities and later the proximal muscles and upper extremities. Nerve conduction velocities range from very slow to normal. Apart from the typical CMT phenotype (distal muscle weakness and atrophy, sensory loss, frequent pes cavus foot deformity), patients commonly present delayed motor development, vocal cord paresis, mild sensory loss, abolished deep tendon reflexes, and skeletal deformities.",Unknown
14808,Autosomal recessive Charcot-Marie-Tooth disease with hoarseness,101097,"A severe, early-onset form of axonal CMT peripheral sensorimotor polyneuropathy.",Unknown
14813,Charcot-Marie-Tooth disease type 2H,101102,"Charcot-Marie-Tooth disease, type 2H (CMT2H, also referred to as CMT4C2) is an axonal CMT peripheral sensorimotor polyneuropathy associated with pyramidal involvement.",Worldwide=<1 / 1 000 000
18817,Autosomal recessive intermediate Charcot-Marie-Tooth disease type A,217055,"A subtype of autosomal recessive intermediate Charcot-Marie-Tooth (CMT) disease characterized by severe, early childhood-onset CMT neuropathy with prominent pes equinovarus deformity and impairment of hand muscles. Nerve conduction velocities usually range between 25-35 m/s and both axonal and demyelinating changes are observed on peripheral nerve pathology.",Worldwide=<1 / 1 000 000
10337,FKRP-related  limb-girdle muscular dystrophy R9,34515,"A form of autosomal recessive limb-girdle muscular dystrophy that presents a highly variable age of onset and phenotypic spectrum typically characterized by slowly progressive proximal weakness of the pelvic and shoulder girdle musculature (predominantly affecting the lower limbs), frequently associated with waddling gait, scapular winging, calf and tongue hypertrophy, exercise-induced myalgia, abdominal muscle weakness, cardiomyopathy, respiratory muscle involvement, and myoglobinuria and/or elevated creatine kinase serum levels.",Europe=1-9 / 100 000;United Kingdom=1-9 / 1 000 000;Norway=1-9 / 100 000;Denmark=1-9 / 1 000 000
2157,Microvillus inclusion disease,2290,Microvillus inclusion disease (MVID) is a very rare and severe intestinal disease characterized by intractable neonatal secretory diarrhea persisting at bowel rest and specific histological features of the intestinal epithelium.,Europe=<1 / 1 000 000;Worldwide=<1 / 1 000 000
11332,Progressive familial intrahepatic cholestasis type 1,79306,"PFIC1, a type of progressive familial intrahepathic cholestasis (PFIC, see this term), is an infantile hereditary disorder in bile formation that is hepatocellular in origin and associated with extrahepatic features.",Europe=1-9 / 100 000
25207,MYO5B-related progressive familial intrahepatic cholestasis,480491,,Worldwide=<1 / 1 000 000
1751,Restrictive dermopathy,1662,"A congenital genodermatosis with skin/mucosae involvement, characterized by very tight and thin skin with erosions and scaling, associated to a typical facial dysmorphism, arthrogryposis multiplex, fetal akinesia or hypokinesia deformation sequence (FADS) and pulmonary hypoplasia without neurological abnormalities.",Worldwide=<1 / 1 000 000
2670,Hutchinson-Gilford progeria syndrome,740,"Hutchinson-Gilford progeria syndrome is a rare, fatal, autosomal dominant and premature aging disease, beginning in childhood and characterized by growth reduction, failure to thrive, a typical facial appearance (prominent forehead, protuberant eyes, thin nose with a beaked tip, thin lips, micrognathia and protruding ears) and distinct dermatologic features (generalized alopecia, aged-looking skin, sclerotic and dimpled skin over the abdomen and extremities, prominent cutaneous vasculature, dyspigmentation, nail hypoplasia and loss of subcutaneous fat).",Worldwide=<1 / 1 000 000
14426,Ovarioleukodystrophy,99853,,Worldwide=<1 / 1 000 000
2375,Muckle-Wells syndrome,575,"Muckle-Wells syndrome (MWS) is an intermediate form of cryopyrin-associated periodic syndrome (CAPS; see this term) and is characterized by recurrent fever (with malaise and chills), recurrent urticaria-like skin rash, sensorineural deafness, general signs of inflammation (eye redness, headaches, arthralgia/myalgia) and potentially life-threatening secondary amyloidosis (AA type).",Unknown
3395,CINCA syndrome,1451,"A rare, genetic, cryopyrin-associated periodic syndrome (CAPS) characterized by neonatal onset of systemic inflammation, urticarial skin rash and arthritis/arthralgia resulting in severe arthropathy and central nervous system involvement (including chronic aseptic meningitis, brain atrophy and sensorineural hearing loss).",Unknown
10608,Familial cold urticaria,47045,"Familial cold urticaria (FCAS) is the mildest form of cryopyrin-associated periodic syndrome (CAPS; see this term) and is characterized by recurrent episodes of urticaria-like skin rash triggered by exposure to cold associated with low-grade fever, general malaise, eye redness and arthralgia/myalgia.",Unknown
11913,Infantile Bartter syndrome with sensorineural deafness,89938,"A form of Bartter syndrome characterized by maternal polyhydramnios, premature delivery, salt loss, polyuria and sensorineural deafness, associated with hypokalemic and hypochloremic metabolic alkalosis, increased levels of plasma renin and aldosterone, and low to normal blood pressure. Urinary calcium excretion rates are variable, and nephrocalcinosis is typically absent.",Unknown
19169,Usher syndrome type 3,231183,"A rare ciliopathy characterized by progressive hearing and visual loss in the first decades of life and, in some cases, vestibular dysfunction. Patients have normal hearing at birth. Onset of hearing loss is usually in late childhood or adolescence after development of speech. Profound deafness is mostly reported by middle age. Retinitis pigmentosa related visual loss also develops in late childhood or adolescence. Developmental motor milestones are generally normal but vestibular dysfunction may occur in adulthood.",Denmark=1-9 / 1 000 000;Europe=1-9 / 1 000 000;Specific population=1-9 / 100 000
27672,Familial apolipoprotein A5 deficiency,530849,,Worldwide=<1 / 1 000 000
